actual_label	image	predicted_label
U neck	3595_56774b90feaa405af49826d13c147ec7.jpg	V Neck
U neck	1037_056e6d0e3f04b02a22233f005d342ccd.jpg	U neck
U neck	3008_fe783bd5241b8944d062c9861b4a406b.jpg	U neck
U neck	3996_08129c7fb86f3677877e8191fb22d1bf.jpg	U neck
U neck	4978_4240614c5d3abfd379a2bc20960084e3.jpg	U neck
U neck	1923_c1c34f0318a5cefef836c8d19f23a56c.jpg	U neck
V Neck	549_4a5cc28d1aed58adac4aac070f9bb069.jpg	U neck
V Neck	1974_a39de784fbd061c6325f07f61ff7f3bd.jpg	U neck
V Neck	378_980c5d6fbdd3dd99accc830a9be1a91f.jpg	U neck
U neck	5204_2cdcff3b51de04abd6c9df774e1a2ee5.jpg	U neck
U neck	832_7e7761c865525b5ca8e1e158cc6a5570.jpg	U neck
V Neck	1904_91df71da90474f7bca27271341cd8aae.jpg	U neck
U neck	2095_cf0a7debac5195e8735390a10acef75c.jpg	U neck
U neck	2519_a6ebd88b4eefe98ae9d10771ff1a247d.jpg	U neck
U neck	601_597edd79bf6b4bc0066f8b11f6bbe4ab.jpg	U neck
V Neck	842_7454eff1926fa9c34979e72f86f85b3b.jpg	U neck
V Neck	2597_1eff82e9b72f50b54ef9b9dc1116b12e.jpg	V Neck
U neck	1727_d455c4445c0be8034c702f5b14f28495.jpg	U neck
U neck	1680_322451d12c5870a8176aa09f42d4c9a0.jpg	U neck
U neck	810_11718f3448aaa5ff2e22f16d0f6e2005.jpg	U neck
V Neck	5368_6e11072c0da2af22534b2ba46a1ffe1b.jpg	U neck
V Neck	731_7acb70819fef3999500571490d45df17.jpg	V Neck
V Neck	1670_65d7cccc9cd2078cec5b6141fe1b0269.jpg	V Neck
V Neck	2045_3e398acf4314735fc7196b629ff8d484.jpg	U neck
U neck	147_2db51a08352bf0325882d13bd5b8d486.jpg	U neck
U neck	4854_38e39dead0245d051986c0564c78ec0a.jpg	U neck
V Neck	1441_92a9e1325b7f6cea28d606516bb5f1a7.jpg	V Neck
U neck	4759_8eaa82a4ea6e98ba9e845fec1a0c226b.jpg	U neck
V Neck	5189_d852cc0734f55f659ee86ee3da9a1f9b.jpg	V Neck
V Neck	2540_d83d5c2d2df1e1f6b686291e03ed355f.jpg	U neck
U neck	4724_c060ade8a7cca53f1300da575fd3cf2e.jpg	U neck
V Neck	1279_881794dffdb0bb5ad1f1ab82dc084fb7.jpg	V Neck
V Neck	3541_8049e5bb60b10ade66132f189f3a433e.jpg	U neck
U neck	5269_111b971e41da5a220ecca52a47ca0586.jpg	U neck
U neck	4640_2c8de9f1894e463911534e7b76a13ccc.jpg	U neck
V Neck	67_b8c457bda0965d6466cead738b6d52d6.jpg	V Neck
U neck	524_39f0cc79e109a39e3b22df01eebca280.jpg	U neck
U neck	4036_3b7c3141a5636f07d89ab634fec70ef0.jpg	U neck
U neck	1218_e396d37068a28a101d93d536655b2afe.jpg	U neck
U neck	3518_729166834e72cbdfc33afa5e93f807d5.jpg	U neck
U neck	2644_3aff85fa85ba295d8f9d1cfcb1ea2d08.jpg	U neck
U neck	1013_e1dd9c10107e05d89c97bb8049d980b0.jpg	U neck
U neck	5604_43b533a5864c9f912875c498fe52781b.jpg	U neck
U neck	3334_d3afb8c5f148edd130b7e394f3a3a833.jpg	U neck
U neck	3535_4ab91da97d9428964626e9ce59b034ea.jpg	U neck
U neck	4581_bfdf475a9bfad9f2ff2aedd17d1ce4f2.jpg	U neck
U neck	1443_b2bdbb736161402bc7f7bcc0dadcda2a.jpg	U neck
U neck	324_c5ecf2f19f4ec97b204203321e252853.jpg	U neck
V Neck	1137_f9d6e9bba415bb430017bc051fddc421.jpg	U neck
U neck	737_c854251cd777df370561c76371aa527a.jpg	U neck
U neck	2122_dba3c0a04da92ec3ed0a2e936edfdd1e.jpg	U neck
