actual_label	image	predicted_label
U neck	77_f8e88885f05fbb00f7adb296037e32f0.jpg	U neck
U neck	46_47ebd926641061b32bf617c06a963078.jpg	U neck
U neck	26_aa44dfacf5cf4f88766ce70805951514.jpg	U neck
U neck	19_dc76fd3927fc151ea56c677c82321d02.jpg	U neck
U neck	71_fc6475fd64d472388b6c05c3806cd2cd.jpg	U neck
V Neck	38_08060bfefd5b1349635b35df8f06b191.jpg	U neck
U neck	81_2a35e2190d54b46e2bfb0b837f6446a1.jpg	U neck
V Neck	105_cb508a9580f90494111f99d9f93ea965.jpg	U neck
V Neck	128_905089d80193379fe0c1c035c6a22577.jpg	U neck
V Neck	129_110597b0994b660cc004b6d6faa65118.jpg	U neck
V Neck	100_7eabc42ba3994ec9a3617ffaa625fdef.jpg	U neck
V Neck	99_61ab2512dfd6a5a7dd041af7fbe96a3e.jpg	U neck
